ProMAX Data Export: List/Table - 213_hor-04
Area: 2021_training    Line: thubl_line213
  LINE_NO       CDP         Z
---------+---------+---------+---------+---------+---------+
      213      5500   6362.77
      213      5505   6363.70
      213      5510   6364.63
      213      5515   6365.55
      213      5520   6366.48
      213      5525   6367.41
      213      5530   6368.34
      213      5535   6369.26
      213      5540   6370.19
      213      5545   6371.12
      213      5550   6372.04
      213      5555   6372.97
      213      5560   6373.90
      213      5565   6374.83
      213      5570   6375.75
      213      5575   6376.68
      213      5580   6377.61
      213      5585   6378.53
      213      5590   6379.42
      213      5595   6380.27
      213      5600   6381.09
      213      5605   6381.86
      213      5610   6382.60
      213      5615   6383.29
      213      5620   6383.95
      213      5625   6384.58
      213      5630   6385.16
      213      5635   6385.70
      213      5640   6386.21
      213      5645   6386.68
      213      5650   6387.11
      213      5655   6387.50
      213      5660   6387.86
      213      5665   6388.21
      213      5670   6388.56
      213      5675   6388.92
      213      5680   6389.27
      213      5685   6389.63
      213      5690   6389.98
      213      5695   6390.33
      213      5700   6390.69
      213      5705   6391.04
      213      5710   6391.40
      213      5715   6391.75
      213      5720   6392.10
      213      5725   6392.46
      213      5730   6392.81
      213      5735   6393.17
      213      5740   6393.52
      213      5745   6393.87
      213      5750   6394.23
      213      5755   6394.58
      213      5760   6394.94
      213      5765   6395.29
      213      5770   6395.64
      213      5775   6396.00
      213      5780   6396.35
      213      5785   6396.71
      213      5790   6397.06
      213      5795   6397.41
      213      5800   6397.77
      213      5805   6398.12
      213      5810   6398.48
      213      5815   6398.83
      213      5820   6399.18
      213      5825   6399.54
      213      5830   6399.89
      213      5835   6400.25
      213      5840   6400.60
      213      5845   6400.95
      213      5850   6401.31
      213      5855   6401.66
      213      5860   6402.02
      213      5865   6402.37
      213      5870   6402.72
      213      5875   6403.08
      213      5880   6403.43
      213      5885   6403.79
      213      5890   6404.14
      213      5895   6404.49
      213      5900   6404.85
      213      5905   6405.20
      213      5910   6405.56
      213      5915   6405.91
      213      5920   6406.26
      213      5925   6406.62
      213      5930   6406.97
      213      5935   6407.33
      213      5940   6407.68
      213      5945   6408.03
      213      5950   6408.39
      213      5955   6408.74
      213      5960   6409.10
      213      5965   6409.45
      213      5970   6409.80
      213      5975   6410.16
      213      5980   6410.51
      213      5985   6410.87
      213      5990   6411.22
      213      5995   6411.57
      213      6000   6411.93
      213      6005   6412.28
      213      6010   6412.64
      213      6015   6412.99
      213      6020   6413.34
      213      6025   6413.70
      213      6030   6414.05
      213      6035   6414.41
      213      6040   6414.76
      213      6045   6415.11
      213      6050   6415.47
      213      6055   6415.82
      213      6060   6416.18
      213      6065   6416.53
      213      6070   6416.88
      213      6075   6417.24
      213      6080   6417.59
      213      6085   6417.95
      213      6090   6418.30
      213      6095   6418.65
      213      6100   6419.01
      213      6105   6419.36
      213      6110   6419.72
      213      6115   6420.07
      213      6120   6420.42
      213      6125   6420.78
      213      6130   6421.13
      213      6135   6421.49
      213      6140   6421.84
      213      6145   6422.19
      213      6150   6422.55
      213      6155   6422.90
      213      6160   6423.26
      213      6165   6423.61
      213      6170   6423.96
      213      6175   6424.32
      213      6180   6424.67
      213      6185   6425.03
      213      6190   6425.38
      213      6195   6425.73
      213      6200   6426.09
      213      6205   6426.44
      213      6210   6426.80
      213      6215   6427.15
      213      6220   6427.50
      213      6225   6427.86
      213      6230   6428.21
      213      6235   6428.57
      213      6240   6428.92
      213      6245   6429.27
      213      6250   6429.63
      213      6255   6429.98
      213      6260   6430.34
      213      6265   6430.69
      213      6270   6431.04
      213      6275   6431.40
      213      6280   6431.75
